A,2,Minor Improvement,,Shifting Cultivation,2 Food,,,,X,Farm Planner,Immediately plow 1 field.
A,5,Minor Improvement,,Clay Embankment,1 Food,,,,X,Building Resource Provider,You immediately get 1 clay for every 2 clay you already have in your supply.
A,9,Minor Improvement,,Young Animal Market,1 Sheep,,,,X,Livestock Provider,"You immediately get 1 cattle. (Effectively, you are exchanging 1 sheep for 1 cattle.)"
A,12,Minor Improvement,,Drinking Trough,1 Clay,,,,,Farm Planner,Each of your pastures (with or without a stable) can hold up to 2 more animals.
A,16,Minor Improvement,,Rammed Clay,,,,,,Farm Planner,"When you play this card, you immediately get 1 clay. You can use clay instead of wood to build fences."
A,19,Minor Improvement,,Handplow,1 Wood,,,,,Farm Planner,"Add 5 to the current round and place 1 field tile on the corresponding round space. At the start of that round, you can plow the field."
A,24,Minor Improvement,,Threshing Board,1 Wood,,1,2 Occupations,,Actions Booster,"Each time you use the ""Farmland"" or ""Cultivation"" action space, you get an additional ""Bake Bread"" action."
A,26,Minor Improvement,,Sleeping Corner,1 Wood,,1,2 Grain Fields,,Actions Booster,"You can use any ""Wish for Children"" action space even if it is occupied by one other player's person."
A,32,Minor Improvement,,Manger,2 Wood,,,,,Points Provider,"During scoring, if your pastures cover at least 6/7/8/10 farm yard spaces, you get 1/2/3/4 bonus points."
A,33,Minor Improvement,,Big Country,,,,All Farmyard Spaces Used,,Points Provider,"For each complete round left to play, you immediately get 1 bonus point and 2 food."
A,38,Minor Improvement,,Wool Blankets,,,,5 Sheep,,Points Provider,"During scoring, if you live in a wooden/clay/stone house by then, you get 3/2/0 bonus points."
A,44,Minor Improvement,,Pond Hut,1 Wood,,1,Exactly 2 Occupations,,Food Provider,"Place 1 food on each of the next 3 round spaces. At the start of these rounds, you get the food."
A,50,Minor Improvement,,Milk Jug,1 Clay,,,,,Food Provider,"Each time any player (including you) uses the ""Cattle Market"" accumulation space, you get 3 food, and each other player gets 1 food."
A,53,Minor Improvement,,Claypipe,1 Clay,,,,,Food Provider,"In the returning home phase of each round, if you gained at least 7 building resources in the preceding work phase, you get 2 food."
A,55,Minor Improvement,,Junk Room,"1 Wood,1 Clay",,,,,Food Provider,"Each time after you build an improvement, including this one, you get 1 food."
A,56,Minor Improvement,,Basket,1 Reed,,,,,Food Provider,"Immediately after each time you use a wood accumulation space, you can exchange 2 wood for 3 food. If you do, place those 2 wood on the accumulation space."
A,63,Minor Improvement,,Dutch Windmill,"2 Wood,2 Stone",,2,,,Food Provider,"Each time you take a ""Bake Bread"" action in a round immediately following a harvest, you get 3 additional food."
A,67,Minor Improvement,,Corn Scoop,1 Wood,,,,,Crop Provider,"Each time you use the ""Grain Seeds"" action space, you get 1 additional grain."
A,69,Minor Improvement,,Large Greenhouse,2 Wood,,,2 Occupations,,Crop Provider,"Add 4, 7, and 9 to the current round and place 1 vegetable on each corresponding round space. At the start of these rounds, you get the vegetable."
A,71,Minor Improvement,,Clearing Spade,1 Wood,,,,,Crop Provider,"At any time, you can move 1 crop from a planted field containing at least 2 crops to an empty field."
A,75,Minor Improvement,,Lumber Mill,2 Stone,,2,At Most 3 Occupations,,Building Resource Provider,Every improvement costs you 1 wood less.
A,78,Minor Improvement,,Canoe,2 Wood,,1,1 Occupation,,Building Resource Provider,"Each time you use the ""Fishing"" accumulation space, you get an additional 1 food and 1 reed."
A,80,Minor Improvement,,Stone Tongs,1 Wood,,,,,Building Resource Provider,"Each time you use a stone accumulation space, you get 1 additional stone."
A,83,Minor Improvement,,Shepherd's Crook,1 Wood,,,,,Livestock Provider,"Each time you fence a new pasture covering at least 4 farmyard spaces, you immediately get 2 sheep on this pasture."
A,86,Occupation,1+,Animal Tamer,,,,,,Farm Planner,"When you play this card, you immediately get your choice of 1 wood or 1 grain. Instead of just 1 animal total, you can keep any 1 animal in each room of your house."
A,87,Occupation,1+,Conservator,,,,,,Farm Planner,You can renovate your wooden house directly to stone without renovating it to clay first.
