Status,Ban,Deck,Number,Type,Player(s),Name,Cost,Text cost,VPs,Prerequisites,Passing Left,Card Category,Text
,,A,1,Minor Improvement,,Shelter,,,,,X,Farm Planner,"You can immediately build a stable at no cost, but only if you place it in a pasture covering exactly 1 farmyard space."
V,,A,2,Minor Improvement,,Shifting Cultivation,2 Food,,,,X,Farm Planner,Immediately plow 1 field.
,,A,3,Minor Improvement,,Paper Knife,1 Wood,,,,X,Actions Booster,"Select 3 occupations in your hand. Select one of them randomly, which you can play immediately without paying an occupation cost."
X,,A,4,Minor Improvement,,Baseboards,,2 Food/1 Grain,,,X,Building Resource Provider,"You immediately get 1 wood for each room you have. If you have more rooms than people, you get 1 additional wood."
V,,A,5,Minor Improvement,,Clay Embankment,1 Food,,,,X,Building Resource Provider,You immediately get 1 clay for every 2 clay you already have in your supply.
X,,A,6,Minor Improvement,,Storage Barn,,,,,X,Building Resource Provider,"If you have the Well, Joinery, Pottery, and/or Basketmaker's Workshop, you immediately get 1 stone, 1 wood, 1 clay, and/or 1 reed, respectively."
X,,A,7,Minor Improvement,,Gardener's Knife,1 Wood,,,,X,Food Provider,You immediately get 1 food for each grain field you have and 1 grain for each vegetable field you have.
X,,A,8,Minor Improvement,,Food Basket,1 Reed,,,2 Occupations and 2 Improvements,X,Crop Provider,You immediately get 1 grain and 1 vegetable.
V,,A,9,Minor Improvement,,Young Animal Market,1 Sheep,,,,X,Livestock Provider,"You immediately get 1 cattle. (Effectively, you are exchanging 1 sheep for 1 cattle.)"
,,A,10,Minor Improvement,,Wooden Shed,"2 Wood,1 Reed",,,Still in Wooden House,,Farm Planner,"This card can only be played via a ""Major Improvement"" action. It provides room for one person. You may no longer renovate."
,,A,11,Minor Improvement,,Mud Patch,,,,,,Farm Planner,"When you play this card, you immediately get 1 wild boar. You can hold 1 wild boar on each of your unplanted field tiles."
V,,A,12,Minor Improvement,,Drinking Trough,1 Clay,,,,,Farm Planner,Each of your pastures (with or without a stable) can hold up to 2 more animals.
X,,A,13,Minor Improvement,,Renovation Company,4 Wood,,,In Wooden House with Exactly 2 Rooms,,Farm Planner,"When you play this card, you immediately get 3 clay. Immediately after, you can renovate without paying any building resources."
,,A,14,Minor Improvement,,Carpenter's Hammer,1 Wood,,,,,Farm Planner,"Each time you build at least 2 wood/clay/stone rooms at once, you get a total discount of 2 reed as well as 2 wood/3 clay/4 stone."
X,,A,15,Minor Improvement,,Carpenter's Axe,1 Wood,,,,,Farm Planner,"Each time after you use a wood accumulation space, if you then have at least 7 wood in your supply, you can build exactly 1 stable for 1 wood."
V,,A,16,Minor Improvement,,Rammed Clay,,,,,,Farm Planner,"When you play this card, you immediately get 1 clay. You can use clay instead of wood to build fences."
,,A,17,Minor Improvement,,Reclamation Plow,1 Wood,,,,,Farm Planner,"After the next time you take animals from an accumulation space and accommodate all of them on your farm, you can plow 1 field."
X,,A,18,Minor Improvement,,Wheel Plow,2 Wood,,,2 Occupations,,Farm Planner,"Once this game, when you use the ""Farmland"" or Cultivation"" action space with the first person you place in a round, you can plow 2 additional fields."
V,,A,19,Minor Improvement,,Handplow,1 Wood,,,,,Farm Planner,"Add 5 to the current round and place 1 field tile on the corresponding round space. At the start of that round, you can plow the field."
X,,A,20,Minor Improvement,,Double-Turn Plow,1 Grain,(+1 Food),,Play in Round 3 (5) or Before,,Farm Planner,"When you play this card, you can immediately plow up to 2 fields."
X,,A,21,Minor Improvement,,Family Friend Home,,,,1 Occupation,,Actions Booster,"Each time you take a ""Build Rooms"" action while having more rooms than people already, you also get a ""Family Growth"" action and 1 food."
,,A,22,Minor Improvement,,Telegram,2 Food,,1,At Least 1 Fence in Supply,,Actions Booster,"Add 1 to the current round for each fence in your supply and mark the corresponding round space. In that round only, you can place a person from your supply."
