Status,Ban,Deck,Number,Type,Player(s),Name,Cost,Cost text,VPs,Prerequisites,Passing Left,Card Category,Text
X,,B,1,Minor Improvement,,Upscale Lifestyle,3 Wood,,,,X,Farm Planner,"You immediately get 5 clay and a ""Renovation"" action. If you take the action, you must pay the renovation cost."
V,,B,2,Minor Improvement,,Mini Pasture,2 Food,,,,X,Farm Planner,"Immediately fence a farmyard space, without paying wood for the fences. (If you already have pastures, the new one must be adjacent to an existing one.)"
,,B,3,Minor Improvement,,Moonshine,,,,,X,Actions Booster,"Randomly select an occupation in your hand. Either play it for an occupation cost of 2 food, or give it to the player to your left."
X,,B,4,Minor Improvement,,Wood Pile,,,,,X,Building Resource Provider,You immediately get a number of wood equal to the number of people you have on accumulation spaces.
X,,B,5,Minor Improvement,,Store of Experience,,,,,X,Building Resource Provider,"If you have 0-4/5/6/7 occupations left in hand, you immediately get 1 stone/reed/clay/wood."
X,,B,6,Minor Improvement,,Excursion to the Quarry,2 Food,,,1 Occupation,X,Building Resource Provider,You immediately get a number of stone equal to the number of people you have.
X,,B,7,Minor Improvement,,Wage,,,,,X,Food Provider,You immediately get 2 food and 1 additional food for each major improvement you have from the bottom row of the supply board.
V,,B,8,Minor Improvement,,Market Stall,1 Grain,,,,X,Crop Provider,"You immediately get 1 vegetable. (Effectively, you are exchanging 1 grain for 1 vegetable)."
X,,B,9,Minor Improvement,,Beating Rod,,,,,X,Goods Provider,You can immediately choose to either get 1 reed or exchange 1 reed for 1 cattle.
V,Ban,B,10,Minor Improvement,,Caravan,"3 Wood,3 Food",,,,,Farm Planner,This card provides room for 1 person.
?,,B,11,Minor Improvement,,Feedyard,"1 Clay,1 Grain",,1,,,Farm Planner,"This card can hold 1 animal for each pasture you have, even different types. After the breeding phase of each harvest, you get 1 food for each unused spot on this card."
?,,B,12,Minor Improvement,,Stockyard,"1 Wood,1 Stone",,1,,,Farm Planner,This card can hold up to 3 animals of the same type. (It is not considered a pasture).
V,,B,13,Minor Improvement,,Carpenter's Parlor,"1 Wood,1 Stone",,,,,Farm Planner,Wooden rooms only cost you 2 wood and 2 reed each.
X,,B,14,Minor Improvement,,Hawktower,2 Clay,,,Play in Round 7 or Before,,Farm Planner,"Place a stone room on round space 12. If you live in a stone house at the start of the round, you can build the stone room at no cost. Otherwise, discard the stone room."
,,B,15,Minor Improvement,,Carpenter's Bench,1 Wood,,,,,Farm Planner,"Immediately after each time you use a wood accumulation space, you can use the taken wood (and only that) to build exactly 1 pasture. If you do, one of the fences is free."
V,,B,16,Minor Improvement,,Mining Hammer,1 Wood,,,,,Farm Planner,"When you play this card, you immediately get 1 food. Each time you renovate, you can also build a stable without paying wood."
X,,B,17,Minor Improvement,,Forest Plow,1 Wood,,,,,Farm Planner,"Each time you use a wood accumulation space, you can pay 2 wood to plow 1 field. Place the paid wood on the accumulation space (for the next visitor)."
X,,B,18,Minor Improvement,,Grassland Harrow,2 Wood,,,"2 Occupations, 1 Building Resource in Your Supply",,Farm Planner,"Add 1 to the current round for each building resource in your supply and place 1 field on the corresponding round space. A the start of the round, you can plow the field."
V,,B,19,Minor Improvement,,Moldboard Plow,2 Wood,,,1 Occupation,,Farm Planner,"Place 2 field tiles on this card. Twice this game, when you use the ""Farmland"" action space, you can also plow 1 field from this card."
X,,B,20,Minor Improvement,,Chain Float,3 Wood,,,,,Farm Planner,"Add 7, 8, and 9 to the current round and place 1 field on each corresponding round space. At the start of these rounds, you can plow the field."
,Ban,B,21,Minor Improvement,,Hayloft Barn,3 Wood,,,1 Occupation,,Actions Booster,"Place 4 food on this card. Each time you obtain at least 1 grain, you also get 1 food from this card. Once it is empty, you get a ""Family Growth Even without Room"" action."
,,B,22,Minor Improvement,,Walking Boots,,,,At Most 4 People,,Actions Booster,"You immediately get 2 food. You must immediately place a person from your supply. If you do, in the next returning home phase, you must remove that person from play."
,,B,23,Minor Improvement,,Final Scenario,,,,Round 13 or Before,,Actions Booster,Place the action space card for round 14 face up in front of you. Only you can use it until it is placed on the game board.
V,,B,24,Minor Improvement,,Lasso,1 Reed,,,,,Actions Booster,"You can place exactly two people immediately after one another if at least one of them uses the ""Sheep Market"", ""Pig Market"", or ""Cattle Market"" accumulation space."
V,,B,25,Minor Improvement,,Bread Paddle,1 Wood,,,,,Actions Booster,"When you play this card, you immediately get 1 food. For each occupation you play, you get an additional ""Bake Bread"" action."
?,,B,26,Minor Improvement,,Agrarian Fences,,,,,,Actions Booster,"Each time you use the ""Grain Utilization"" action space, you can take a ""Build Fences"" action instead of one of the two actions provide by the action space."
,,B,27,Minor Improvement,,Toolbox,1 Wood,,,,,Actions Booster,"In the work phase, after each turn in which you build at least 1 room, stable, or fence, you can build the ""Joinery"", ""pottery"", or Basketmaker's Workshop"" major improvement."
X,,B,28,Minor Improvement,,Forestry Studies,2 Food,,,,,Actions Booster,"Each time after you use the ""Forest"" accumulation space, you can return 2 wood to that space to play 1occupation without paying an occupation costs."
,,B,29,Minor Improvement,,Cookery Lesson,2 Food,,,,,Points Provider,"Each time you use a ""Lesson"" action space and a cooking improvement on the same turn, you get 1 bonus point."
,,B,30,Minor Improvement,,Wood Palisades,1 Food,,,,,Points Provider,"Instead of a fence piece, you can place 2 wood from your supply on the fence spaces at the edge of your farmyard. These fence spaces with 2 wood are worth 1 bonus point."
X,,B,31,Minor Improvement,,Pottery Yard,,,1,Pottery (or an Upgrade Thereof),,Points Provider,"During the scoring, if there are at least 2 orthogonally adjacent unused spaces in your farm, you get 2 bonus points. (You still get the negative points for those unused spaces."
