Status,Ban,Deck,Number,Type,Player(s),Name,Cost,,VPs,Prerequisites,Passing Left,Card Category,Text
X,,C,1,Minor Improvement,,Overhaul,1 Wood,,,2 Occupations,X,Farm Planner,"Immediately raze all of your fences, add up to 3 fences from your supply, and rebuild them. (You do not lose any animals during this.)"
V,,C,2,Minor Improvement,,Stable,1 Wood,,,,X,Farm Planner,"Immediately build 1 stable. (The stable costs you nothing, but you must pay the cost shown on this card.)"
V,,C,3,Minor Improvement,,Carriage Trip,,,,1 Person yet to Place,X,Actions Booster,"If you play this card in the work phase, you can immediately place another person."
X,,C,4,Minor Improvement,,Writing Boards,1 Food,,,,X,Building Resource Provider,You immediately get 1 wood for each occupation you have in front of you.
X,,C,5,Minor Improvement,,Remodeling,1 Food,,,,X,Building Resource Provider,You immediately get 1 clay for each clay room and for each major improvement you have.
V,,C,6,Minor Improvement,,Stone Clearing,1 Food,,,,X,Building Resource Provider,Immediately place 1 stone on each of your empty fields. Harvest them during the next field phase. These fields are considered planted until then.
X,,C,7,Minor Improvement,,Blade Shears,1 Wood,,,1 Pasture,X,Food Provider,You immediately get your choice of 3 food or 1 food for each sheep you have. (Keep the sheep.)
?,,C,8,Minor Improvement,,Plant Fertilizer,,,,,X,Crop Provider,"In each field with exactly 1 good, you can immediately place 1 additional good of the same type."
X,,C,9,Minor Improvement,,Automatic Water Trough,1 Wood,,,,X,Livestock Provider,"If you can accommodate the animal, you can immediately buy 1 sheep/wild boar/cattle for 0/1/2 food."
,,C,10,Minor Improvement,,Bunk Beds,1 Wood,,,2 Major Improvements,,Farm Planner,"Once you have 4 rooms, your house can hold 5 people."
V,,C,11,Minor Improvement,,Wildlife Reserve,2 Wood,,1,2 Occupations,,Farm Planner,"This card can hold up to 1 sheep, 1 wild boar, and 1 cattle."
,,C,12,Minor Improvement,,Cattle Farm,1 Wood,,,,,Farm Planner,"For each pasture you have, you can keep 1 cattle on this card."
X,,C,13,Minor Improvement,,Wood Slide Hammer,1 Wood,,,,,Farm Planner,"On your first renovation, if you have at least 5 wood rooms, you can renovate to stone directly and you get a discount of 2 stone on the renovation cost."
V,,C,14,Minor Improvement,,Straw-Thatched Roof,,,1,3 Grain Fields,,Farm Planner,You no longer need reed to renovate or build a room.
X,,C,15,Minor Improvement,,Trellis,,,,2 Occupations,,Farm Planner,"Each time before you use the ""Pig Market"" accumulation space, you can take a ""Build Fences"" action. (You must pay wood for the fences as usual.)"
V,,C,16,Minor Improvement,,Field Fences,2 Food,,,,,Farm Planner,"You can immediately take a ""Build Fences"" action, during which you do not have to pay wood for fences that you build next to field tiles."
,,C,17,Minor Improvement,,Newly-Plowed Field,,,,Exactly 3 Field Tiles,,Farm Planner,"When you play this card, you can immediately plow 1 field, which needs not be adjacent to another field."
,,C,18,Minor Improvement,,Roll-Over Plow,2 Wood,,,,,Farm Planner,"At any time, if you have at least 3 planted fields, you can discard all goods from one of those fields to plow 1 field."
V,,C,19,Minor Improvement,,Swing Plow,3 Wood,,,3 Occupations,,Farm Planner,"Place 4 field tiles on this card. Each time you use the ""Farmland"" action space, you can also plow up to 2 fields from this card."
X,,C,20,Minor Improvement,,Mole Plow,"3 Wood,1 Food",,,Play in Round 9 or Later,,Farm Planner,"Each time you use the ""Farmland"" or ""Cultivation"" action space, you can plow 1 additional field."
,,C,21,Minor Improvement,,Heart of Stone,4 Food,,,,,Actions Booster,"Each time a ""Quarry"" accumulation space is revealed, if you have room in your house, you can immediately take a ""Family Growth"" action without placing a person."
,,C,22,Minor Improvement,,Basket Chair,1 Reed,,1,,,Actions Booster,"When you play this card, you can immediately move the first person you placed this work phase to this card. If you do, immediately afterward, you can place another person."
,,C,23,Minor Improvement,,Job Contract,,,,No Occupations,,Actions Booster,"If both are unoccupied, you can use the ""Day Laborer"" and the adjacent ""Lessons"" action space with a single person (in that order). Afterward, both spaces are considered occupied."
X,,C,24,Minor Improvement,,Bed in the Grain Field,,,,1 Grain Field,,Actions Booster,"At the start of the next harvest, you get a ""Family Growth"" action if you have room for the newborn."
V,,C,25,Minor Improvement,,Steam Machine,2 Wood,,1,,,Actions Booster,"Each work phase, if the last action space you use is an accumulation space, you can immediately afterward take a ""Bake Bread"" action."
V,,C,26,Minor Improvement,,Flail,1 Wood,,,,,Actions Booster,"When you play this card, you immediately get 2 food. Each time you use the ""Farmland"" or ""Cultivation"" action space, you can also take a ""Bake Bread"" action."
V,,C,27,Minor Improvement,,Blueprint,1 Food,,,,,Actions Booster,"You can build the major improvements ""Joinery"", ""Pottery"", and ""Basketmaker's Workshop"" even when taking a ""Minor Improvement"" action. They each cost you 1 stone less."
?,,C,28,Minor Improvement,,Teacher's Desk,1 Wood,,,1 Occupation,,Actions Booster,"Each time you use the ""Major Improvement"" or ""House Redevelopment"" action space, you can also play 1 occupation at an occupation cost of 1 food."
X,,C,29,Minor Improvement,,Beer Table,2 Wood,,,No Grain in Your Supply,,Points Provider,"At the end of the field phase of each harvest, you can pay 1 grain from your supply to get 2 bonus points. If you do, all other players get 1 food each."
V,,C,30,Minor Improvement,,Half-Timbered House,"1 Wood,1 Clay,2 Stone,1 Reed",,,,,Points Provider,"During scoring, you get 1 bonus point for each stone room you have. You can only use one card to get bonus points for your stone house."
?,Ban,C,31,Minor Improvement,,Writing Chamber,2 Wood,,,,,Points Provider,"During scoring, you get a number of bonus points equal to the total of negative points you have, to a maximum of 7 bonus points."
X,,C,32,Minor Improvement,,Abort Oriel,2 Clay,,3,see below,,Points Provider,You can no longer play this card when any player (including you) has 5 or more cards in front of them.
