Status,Ban,Deck,Number,Type,Player(s),Name,Cost,Cost Text,VPs,Prerequisites,Passing Left,Card Category,Text
,,D,1,Minor Improvement,,Zigzag Harrow,1 Wood,,,"3 Fields in an ""L"" Shape",X,Farm Planner,"You can immediately plow 1 field such that it completes a ""zigzag"" pattern."
X,,D,2,Minor Improvement,,Dwelling Plan,1 Food,,,,X,Farm Planner,"You can immediately take a ""Renovation"" action."
X,,D,3,Minor Improvement,,Furrows,,,,,X,Actions Booster,You can immediately sow in exactly 1 field.
V,,D,4,Minor Improvement,,Cross-Cut Wood,1 Food,,,3 Occupations,X,Building Resource Provider,You immediately get a number of wood equal to the number of stone in your supply.
X,,D,5,Minor Improvement,,Field Clay,1 Food,,,1 Planted Field,X,Building Resource Provider,You immediately get 1 clay for each planted field you have.
?,,D,6,Minor Improvement,,Petrified Wood,,,,2 Occupations,X,Building Resource Provider,Immediately exchange up to 3 wood for 1 stone each.
V,,D,7,Minor Improvement,,Trident,1 Wood,,,"Play in Round 3, 6, 9, or 12",X,Food Provider,"If you play this card in round 3/6/9/12, you immediately get 3/4/5/6 food."
X,,D,8,Minor Improvement,,Fern Seeds,,,,1 Empty and 2 Planted Fields,X,Crop Provider,"You get 2 food and 1 grain, which you must sow immediately."
V,,D,9,Minor Improvement,,Game Trade,2 Sheep,,,,X,Livestock Provider,"You immediately get 1 wild boar and 1 cattle. (effectively, you are exchanging 2 sheep for 1 wild boar and 1 cattle.)"
V,,D,10,Minor Improvement,,Stork's Nest,1 Reed,,,5 Occupations,,Farm Planner,"In the returning home phase of each round, if you have more rooms than people, you can pay 1 food to take a ""Family Growth"" action."
X,,D,11,Minor Improvement,,Lawn Fertilizer,,,,,,Farm Planner,"Your pastures of size 1 can hold up to 3 animals of the same type. (With a stable, they can hold up to 6 animals of the same type.)"
V,,D,12,Minor Improvement,,Milking Place,1 Grain,,1,,,Farm Planner,"In the feeding phase of each harvest, you get 1 food. You can no longer hold animals in your house (not even via another card)."
X,,D,13,Minor Improvement,,Trowel,1 Wood,,,,,Farm Planner,"At any time, you can renovate your house to stone. From a wooden house, this costs 1 stone, 1 reed, and 1 food per room. From a clay house, this costs 1 stone per room."
,,D,14,Minor Improvement,,Hammer Crusher,1 Wood,,,,,Farm Planner,"Immediately before you renovate to stone, you get 2 clay and 1 reed and you can take a ""Build Rooms"" action."
V,,D,15,Minor Improvement,,Clay Supports,2 Wood,,,,,Farm Planner,"Each time you build a clay room, you can pay 2 clay, 1 wood, and 1 reed instead of 5 clay and 2 reed."
,,D,16,Minor Improvement,,Wooden Whey Bucket,"1 Wood,1 Food",,,,,Farm Planner,"Each time before you use the ""Sheep Market""/""Cattle Market"" accumulation space, you can build exactly 1 stable for 1 wood/at no cost."
X,,D,17,Minor Improvement,,Drill Harrow,1 Wood,,,,,Farm Planner,"Each time before you take an unconditional ""Sow"" action, you can pay 3 food to plow 1 field."
,,D,18,Minor Improvement,,Steam Plow,"1 Wood,1 Food",,1,,,Farm Planner,"Immediately after each returning home phase, you can pay 2 wood and 1 food to use the ""Farmland"" action space without placing a person."
,Ban,D,19,Minor Improvement,,Pulverizer Plow,2 Wood,,,1 Occupation,,Farm Planner,"Immediately after each time you use a clay accumulation space, you can pay 1 clay to plow 1 field. If you do, place that 1 clay on the accumulation space."
V,,D,20,Minor Improvement,,Turnwrest Plow,3 Wood,,,2 Occupations,,Farm Planner,"Place 2 field tiles on this card. Each time you use the ""Farmland"" or ""Cultivation"" action space, you can also plow up to 2 fields from this card."
,Ban,D,21,Minor Improvement,,Recruitment,1 Food,,,No People Left in the House,,Actions Booster,"Provided you have room in your house, each time you get a ""Minor Improvement"" action, you can take a ""Family Growth"" action instead."
,,D,22,Minor Improvement,,Work Permit,1 Food,,,At Least 1 Building Resource in Your Supply,,Actions Booster,"Add 1 to the current round for each building resource you have and place 1 person from your supply on the corresponding round space. In that round, you can use the person."
,,D,23,Minor Improvement,,Pioneering Spirit,,,,,,Actions Booster,"This card is an action space for you only. In rounds 3-5, it provides a ""renovation"" action. In rounds 6-8, it provides your choice of 1 vegetable, wild boar, or cattle."
,,D,24,Minor Improvement,,Brotherly Love,1 Food,,,,,Actions Booster,"As long as you have exactly 4 people, in the work phase of each round, you can place your third and fourth person immediately after one another, even on the same action space."
,Ban,D,25,Major Improvement/Occupation,,Witches' Dance Floor,,,,see below,,Actions Booster,"This card is a field that you can sow in, an occupation, and the ""Fireplace"" major improvement with all of its effects. You can play it only via a ""Minor Improvement"" action."
,,D,26,Minor Improvement,,Carpenter's Yard,"1 Wood,1 Reed",,1,,,Actions Booster,"You can build the ""Joinery"" and ""Well"" major improvement even when taking a ""Minor Improvement"" action, or you can build both with a single ""Major Improvement"" action."
,,D,27,Minor Improvement,,Retraining,1 Food,,1,1 Occupation,,Actions Booster,"At the end of each turn in which you renovate, you can exchange your Joinery for the Pottery or your Pottery for the Basketmaker's Workshop."
V,,D,28,Minor Improvement,,Writing Desk,1 Wood,,1,2 Occupations,,Actions Booster,"Each time you use a ""Lessons"" action space, you can play 1 additional occupation for an occupation cost of 2 food."
V,,D,29,Minor Improvement,,Muck Rake,1 Wood,,,,,Points Provider,"During scoring, you get 1 bonus point for exactly 1 unfenced stable holding exactly 1 sheep. The same applies to wild boar and cattle, if held in different unfenced stables."
,Ban,D,30,Minor Improvement,,Artisan District,1 Stone,,1,3 Occupations,,Points Provider,"During scoring, you get 2/5/8 bonus points for having 3/4/5 major improvements from the bottom row of the supply board."
X,,D,31,Minor Improvement,,Storeroom,"1 Wood,2 Stone",,1,,,Points Provider,"During scoring, you get 1/2 bonus point for each pair of grain plus vegetable you have (considering all crops in your supply and fields), rounded up."
