Deck,Num,Type,Players,Name,Cost,Text cost,VPs,Prereq,Passing,Deck Category,Text,Author
E,1,Minor Improvement,,Pole Barns,2 wood,,,15 Fences Built,X,Passing - Farmyard,You can immediately build up to 3 stables at no cost.,oxmond
E,2,Minor Improvement,,Renovation Materials,"3 clay, 1 reed",,,Wooden House,X,Passing - Action - Farmyard,Immediately renovate to clay at no cost.,luki
E,3,Minor Improvement,,Tea Time,1 food,,,"Own Person on ""Grain Utilization""",X,Passing - Action - Farmyard,"Immediately return your person on the ""Grain Utilization"" action space home; you can place it again later this round.",beso
E,4,Minor Improvement,,Thunderbolt,,,,1 Grain Field,X,Passing - Improvement/Occ - Wood,Immediately remove all grain from one of your fields to the general supply. Gain 2 wood for each grain you just removed.,beso
E,5,Minor Improvement,,Night Loot,2 food,,,,X,Passing - Building Resources ,Immediately remove 2 different building resources total from accumulation spaces and place them in your supply.,inoshishi
E,6,Minor Improvement,,Recount,,,,,X,Passing - Building Resources ,You immediately get 1 building resource of each type of which you have 4 or more resources in your supply already.,guy
E,7,Minor Improvement,,Pumpernickel,1 grain,,,,X,Passing - Food,You immediately get 4 food.,tamos
E,8,Minor Improvement,,Farmers Market,2 food,,,,X,Passing - Crop,You immediately get 1 vegetable.,
E,9,Minor Improvement,,Bartering Hut,,,,,X,Passing - Animal,Up to two times: Immediately spend any 2/3/4 building resources for 1 sheep/wild boar/cattle from the general supply.,
E,10,Minor Improvement,,Straw Hat,1 reed,,,,,Action - Guest,"At the end of the work phases of rounds 3 and 6, you can move your person from the ""Farmland"" action space to an unoccupied action space and take that action, or get 1 food.",kulbrot
E,11,Minor Improvement,,Petting Zoo,1 wood,,0,,,Farmyard - Place for animals,"As long as you have a pasture orthogonally adjacent to your house, you can keep animals of any type on this card, up to the number of rooms in your house.",inoshishi
E,12,Minor Improvement,,Animal Bedding,,,1,1 Grain Field,,Farmyard - Place for animals,"You can keep 1 additional animal in each of your unfenced stables, and 2 additional animals in each pasture with stable.",keith
E,13,Minor Improvement,,Stone House Reconstruction,1 stone,,1,,,Farmyard - House building or Renovation,"At any time, you can renovate your clay house to a stone house withot placing a person. (You must pay the normal renovation cost.)",pain
E,14,Minor Improvement,,Wood Saw,1 wood,,,,,Farmyard - House building or Renovation,"Each time all other players have more people than you, you can take a ""Build Rooms"" action.",chris
E,15,Minor Improvement,,Nail Basket,1 reed,,1,,,Farmyard -  Fencing or Stable building,"Each time after you use a wood accumulation space, you can place 1 stone from your supply on that space (for the next visitor) to take a “Build Fences” action.",beso
E,16,Minor Improvement,,Briar Hedge,,,,1 Animal of Each Type,,Farmyard -  Fencing or Stable building,You do not need to pay wood for fences that you build on the edge of your farmyard board.,inoshishi
E,17,Minor Improvement,,Skimmer Plow,1 wood,,0,2 Occupations,,Farmyard - Plowing,"Each time you use the ""Farmland"" or ""Cultivation"" action space, you can plow 2 fields instead of 1. Each time you sow, you must place 1 fewer good on each field you sow.",beso
E,18,Minor Improvement,,Seed Almanac,1 reed,,,4 Occupations,,Farmyard - Plowing,"Each time after you play a minor improvement after this one, you can pay 1 food to plow 1 field.",nwoll
