C,2,Minor Improvement,,Stable,1 Wood,,,,X,Farm Planner,"Immediately build 1 stable. (The stable costs you nothing, but you must pay the cost shown on this card.)",
C,3,Minor Improvement,,Carriage Trip,,,,1 Person yet to Place,X,Actions Booster,"If you play this card in the work phase, you can immediately place another person.",
C,6,Minor Improvement,,Stone Clearing,1 Food,,,,X,Building Resource Provider,Immediately place 1 stone on each of your empty fields. Harvest them during the next field phase. These fields are considered planted until then.,
C,11,Minor Improvement,,Wildlife Reserve,2 Wood,,1,2 Occs,,Farm Planner,"This card can hold up to 1 sheep, 1 wild boar, and 1 cattle.",
C,14,Minor Improvement,,Straw-Thatched Roof,,,1,3 Grain Fields,,Farm Planner,You no longer need reed to renovate or build a room.,
C,16,Minor Improvement,,Field Fences,2 Food,,,,,Farm Planner,"You can immediately take a ""Build Fences"" action, during which you do not have to pay wood for fences that you build next to field tiles.",
C,19,Minor Improvement,,Swing Plow,3 Wood,,,3 Occs,,Farm Planner,"Place 4 field tiles on this card. Each time you use the ""Farmland"" action space, you can also plow up to 2 fields from this card.",
C,25,Minor Improvement,,Steam Machine,2 Wood,,1,,,Actions Booster,"Each work phase, if the last action space you use is an accumulation space, you can immediately afterward take a ""Bake Bread"" action.",
C,26,Minor Improvement,,Flail,1 Wood,,,,,Actions Booster,"When you play this card, you immediately get 2 food. Each time you use the ""Farmland"" or ""Cultivation"" action space, you can also take a ""Bake Bread"" action.",
C,27,Minor Improvement,,Blueprint,1 Food,,,,,Actions Booster,"You can build the major improvements ""Joinery"", ""Pottery"", and ""Basketmaker's Workshop"" even when taking a ""Minor Improvement"" action. They each cost you 1 stone less.",
C,30,Minor Improvement,,Half-Timbered House,"1 Wood, 1 Clay, 2 Stone,  1 Reed",,,,,Points Provider,"During scoring, you get 1 bonus point for each stone room you have. You can only use one card to get bonus points for your stone house.",
C,35,Minor Improvement,,Lantern House,1 Wood,,7,No Occs,,Points Provider,"During scoring, you get 1 negative point for each card left in your hand. You cannot discard cards from your hand unplayed. If you already have, you cannot play this card.",
